#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
88,Croatia,"10,725",+311,191,+4,"7,968",+233,"2,566",15,"2,615",47,"175,346","42,759","4,100,788",Europe,382,"21,470",23
89,DRC,"10,114",+10,259,,"9,347",+25,508,,112,3,,,"89,996,481",Africa,"8,898","347,477",
90,Albania,"9,606",,290,,"5,441",,"3,875",22,"3,339",101,"59,250","20,593","2,877,248",Europe,300,"9,922",49
91,Guinea,"9,479",,59,,"8,527",,893,24,719,4,"24,530","1,860","13,190,302",Africa,"1,392","223,564",538
92,Malaysia,"9,360",+6,128,,"9,079",+4,153,4,289,4,"1,270,229","39,161","32,435,830",Asia,"3,465","253,405",26
93,FrenchGuiana,"9,154",,60,,"8,707",,387,10,"30,520",200,"53,809","179,402","299,936",SouthAmerica,33,"4,999",6
94,Tajikistan,"8,654",+35,69,+1,"7,447",+34,"1,138",,904,7,,,"9,572,723",Asia,"1,106","138,735",
95,Gabon,"8,533",,53,,"7,264",,"1,216",2,"3,819",24,"118,395","52,990","2,234,304",Africa,262,"42,157",19
96,Haiti,"8,258",+28,206,+3,"5,870",+42,"2,182",,723,18,"23,679","2,072","11,425,976",NorthAmerica,"1,384","55,466",483
97,Finland,"8,161",+19,336,,"7,350",+150,475,1,"1,473",61,"688,858","124,293","5,542,214",Europe,679,"16,495",8
98,Maldives,"8,003",,29,,"5,265",,"2,709",12,"14,762",53,"113,885","210,071","542,125",Asia,68,"18,694",5
99,Namibia,"7,844",+152,82,+1,"3,454",+75,"4,308",30,"3,078",32,"64,269","25,218","2,548,537",Africa,325,"31,080",40
100,Mauritania,"7,075",,159,,"6,464",,452,3,"1,515",34,"69,937","14,978","4,669,439",Africa,660,"29,368",67
101,Luxembourg,"6,702",,124,,N/A,N/A,N/A,2,"10,677",198,"646,620","1,030,181","627,676",Europe,94,"5,062",1
102,Hungary,"6,622",+365,619,+3,"3,903",+82,"2,100",7,686,64,"437,531","45,312","9,656,049",Europe,"1,458","15,599",22
103,Zimbabwe,"6,559",,203,,"5,241",,"1,115",,440,14,"151,597","10,175","14,899,180",Africa,"2,272","73,395",98
104,Malawi,"5,576",,175,,"3,420",,"1,981",4,290,9,"45,622","2,375","19,210,070",Africa,"3,445","109,772",421
105,Djibouti,"5,387",,60,,"5,327",,0,,"5,439",61,"67,780","68,436","990,408",Africa,184,"16,507",15
106,EquatorialGuinea,"4,965",,83,,"3,884",,998,1,"3,521",59,"51,944","36,832","1,410,293",Africa,284,"16,991",27
107,Montenegro,"4,917",,102,,"4,058",,757,,"7,829",162,"49,348","78,570","628,080",Europe,128,"6,158",13
